#t	#pc00001	#pc00002	#pc00003
254	 0.031783	-0.008243	-0.001870
255	-0.013411	 0.009144	-0.010715
256	 0.023062	-0.006933	-0.016884
257	-0.005407	-0.016908	-0.016571
258	 0.034656	 0.008761	 0.017878
259	-0.002460	-0.015862	-0.010101
260	-0.038144	 0.019358	-0.004843
261	 0.004885	-0.007420	 0.040963
262	 0.021954	 0.023732	-0.010753
263	-0.000328	 0.023126	-0.002309
264	 0.028901	 0.030166	-0.013635
265	 0.016462	-0.001737	-0.011230
266	 0.002627	 0.004118	-0.019171
267	-0.014636	-0.001330	 0.012095
268	-0.005384	 0.045167	-0.010273
269	 0.033790	 0.011030	-0.013812
270	 0.021966	-0.013215	 0.008635
271	-0.000769	-0.001441	-0.003348
272	 0.015156	 0.009418	 0.022188
273	-0.062877	 0.013102	 0.007620
274	 0.030475	 0.015153	-0.002008
275	-0.041264	-0.026345	-0.010647
276	-0.008441	-0.005695	-0.007795
277	-0.015283	 0.021186	 0.001720
278	-0.021754	-0.008632	-0.008624
279	-0.032717	 0.014776	 0.011992
280	-0.008415	 0.005599	 0.012897
281	 0.002014	-0.030624	-0.003655
282	 0.005882	-0.015383	-0.016426
283	-0.004615	-0.025941	 0.004247
284	-0.004369	-0.009802	 0.009598
285	-0.022366	-0.043942	 0.006269
286	-0.017967	 0.011961	 0.000639
287	 0.004841	 0.038900	-0.007442
288	 0.018922	-0.009622	 0.021224
289	 0.009643	-0.013688	 0.004992
290	-0.019975	 0.012426	 0.003510
291	-0.023923	 0.016127	-0.014570
292	-0.001619	-0.016325	-0.003968
293	-0.002433	 0.008750	 0.004844
294	-0.002799	-0.000675	-0.015385
295	-0.019648	 0.006491	 0.021673
296	 0.003057	 0.015112	-0.005301
297	 0.032826	 0.042840	-0.005559
298	 0.015699	-0.012488	-0.028225
299	 0.002579	-0.016382	-0.011682
300	 0.000446	-0.010644	 0.002184
301	-0.004312	-0.035676	-0.021628
302	 0.024145	 0.006804	-0.043371
303	-0.015589	-0.013520	 0.010951
304	-0.038203	-0.012998	 0.005801
305	-0.001946	-0.010550	 0.007704
306	 0.042114	-0.014869	 0.003560
307	 0.024516	-0.039569	-0.014666
308	 0.031566	 0.049426	-0.010989
309	 0.024563	 0.003491	-0.002604
310	 0.014158	-0.008767	-0.011990
311	-0.020877	-0.014046	 0.016209
312	 0.026451	-0.008297	-0.010909
313	-0.011829	 0.008740	 0.003355
314	-0.013957	-0.013795	 0.007825
315	-0.007008	-0.022576	-0.037895
316	 0.016745	 0.007498	 0.006291
317	 0.022226	-0.020267	-0.016112
318	-0.014375	 0.004582	 0.014378
319	-0.032960	 0.033582	 0.004793
320	-0.018026	-0.018952	 0.036725
321	-0.010444	 0.005093	 0.010633
322	-0.020952	 0.015516	-0.018713
323	 0.016374	 0.030762	 0.013526
324	 0.025474	 0.016269	-0.009659
325	 0.012791	-0.007402	-0.015976
326	-0.017765	-0.025301	-0.022290
327	-0.014252	 0.005776	 0.002832
328	 0.039144	 0.001065	 0.001814
329	 0.027978	-0.009691	 0.025041
330	-0.060565	 0.009165	 0.025896
331	 0.030912	 0.005129	 0.026560
332	-0.015578	-0.025882	 0.023735
333	 0.021112	-0.018043	-0.009087
334	 0.011603	-0.009037	 0.006629
335	-0.032217	 0.028385	 0.027071
336	 0.003472	-0.010724	-0.019805
337	-0.030679	 0.007468	 0.030820
338	 0.030006	 0.011513	 0.014341
339	-0.006379	 0.009469	 0.003908
340	 0.007000	-0.004126	-0.009517
