    #t	      pc1	      pc2	      pc3
5000.0	 0.027110	 0.025740	 0.010040
5020.0	 0.011510	 0.010950	 0.001180
5040.0	 0.006400	-0.006310	 0.005240
5060.0	-0.018870	-0.015320	 0.009420
5080.0	 0.031780	 0.008240	 0.001870
5100.0	-0.013410	-0.009140	 0.010720
5120.0	 0.023060	 0.006930	 0.016880
5140.0	-0.005410	 0.016910	 0.016570
5160.0	 0.034660	-0.008760	-0.017880
5180.0	-0.002460	 0.015860	 0.010100
5200.0	-0.038140	-0.019360	 0.004840
5220.0	 0.004880	 0.007420	-0.040960
5240.0	 0.021960	-0.023730	 0.010750
5260.0	-0.000330	-0.023130	 0.002310
5280.0	 0.028900	-0.030160	 0.013630
5300.0	 0.016460	 0.001740	 0.011230
5320.0	 0.002630	-0.004120	 0.019170
5340.0	-0.014640	 0.001330	-0.012100
5360.0	-0.005380	-0.045170	 0.010270
5380.0	 0.033790	-0.011030	 0.013810
5400.0	 0.021970	 0.013220	-0.008640
5420.0	-0.000770	 0.001440	 0.003350
5440.0	 0.015160	-0.009420	-0.022190
5460.0	-0.062880	-0.013100	-0.007620
5480.0	 0.030480	-0.015150	 0.002010
5500.0	-0.041260	 0.026340	 0.010650
5520.0	-0.008440	 0.005700	 0.007800
5540.0	-0.015280	-0.021190	-0.001720
5560.0	-0.021750	 0.008630	 0.008620
5580.0	-0.032720	-0.014770	-0.011990
5600.0	-0.008420	-0.005600	-0.012900
5620.0	 0.002010	 0.030630	 0.003650
5640.0	 0.005880	 0.015380	 0.016430
5660.0	-0.004610	 0.025940	-0.004250
5680.0	-0.004370	 0.009800	-0.009600
5700.0	-0.022370	 0.043940	-0.006270
5720.0	-0.017970	-0.011960	-0.000640
5740.0	 0.004840	-0.038900	 0.007440
5760.0	 0.018920	 0.009620	-0.021220
5780.0	 0.009640	 0.013690	-0.004990
5800.0	-0.019970	-0.012430	-0.003510
5820.0	-0.023920	-0.016130	 0.014570
5840.0	-0.001620	 0.016330	 0.003970
5860.0	-0.002430	-0.008750	-0.004850
5880.0	-0.002800	 0.000680	 0.015390
5900.0	-0.019650	-0.006490	-0.021670
5920.0	 0.003060	-0.015110	 0.005300
5940.0	 0.032830	-0.042840	 0.005560
5960.0	 0.015700	 0.012490	 0.028230
5980.0	 0.002580	 0.016380	 0.011680
6000.0	 0.000450	 0.010640	-0.002180
6020.0	-0.004310	 0.035680	 0.021630
6040.0	 0.024150	-0.006800	 0.043370
6060.0	-0.015590	 0.013520	-0.010950
6080.0	-0.038200	 0.013000	-0.005800
6100.0	-0.001950	 0.010550	-0.007700
6120.0	 0.042110	 0.014870	-0.003560
6140.0	 0.024520	 0.039570	 0.014670
6160.0	 0.031570	-0.049420	 0.010990
6180.0	 0.024560	-0.003490	 0.002600
6200.0	 0.014160	 0.008770	 0.011990
6220.0	-0.020880	 0.014050	-0.016210
